knn3: 1; 1; [[1.]]; [[ 1. 16.  1.]]; [[128944. 268160. 306404.]]
knn5: 1; 16; [[16.]]; [[ 1. 16.  1. 16. 16.]]; [[128944. 268160. 306404. 312534. 326300.]]
knn7: 1; 16; [[16.]]; [[ 1. 16.  1. 16. 16. 16. 16.]]; [[128944. 268160. 306404. 312534. 326300. 348694. 355526.]]
knn3: 2; 2; [[2.]]; [[2. 2. 2.]]; [[60432. 65232. 81810.]]
knn5: 2; 2; [[2.]]; [[2. 2. 2. 2. 2.]]; [[60432. 65232. 81810. 83404. 87796.]]
knn7: 2; 2; [[2.]]; [[2. 2. 2. 2. 2. 2. 2.]]; [[ 60432.  65232.  81810.  83404.  87796.  98492. 150256.]]
knn3: 3; 3; [[3.]]; [[ 3.  3. 12.]]; [[54292. 65264. 76010.]]
knn5: 3; 3; [[3.]]; [[ 3.  3. 12. 12. 26.]]; [[54292. 65264. 76010. 76630. 80770.]]
knn7: 3; 12; [[12.]]; [[ 3.  3. 12. 12. 26. 12. 12.]]; [[ 54292.  65264.  76010.  76630.  80770.  98328. 102272.]]
knn3: 4; 9; [[9.]]; [[4. 9. 9.]]; [[53872. 87476. 88870.]]
knn5: 4; 9; [[9.]]; [[4. 9. 9. 9. 4.]]; [[ 53872.  87476.  88870.  97614. 100140.]]
knn7: 4; 4; [[4.]]; [[4. 9. 9. 9. 4. 4. 4.]]; [[ 53872.  87476.  88870.  97614. 100140. 102764. 116474.]]
knn3: 5; 5; [[5.]]; [[5. 5. 5.]]; [[ 61332.  66016. 130398.]]
knn5: 5; 5; [[5.]]; [[ 5.  5.  5. 15.  5.]]; [[ 61332.  66016. 130398. 266328. 279020.]]
knn7: 5; 5; [[5.]]; [[ 5.  5.  5. 15.  5. 25.  5.]]; [[ 61332.  66016. 130398. 266328. 279020. 309630. 314348.]]
knn3: 6; 6; [[6.]]; [[ 6.  6. 18.]]; [[ 61620. 105908. 128682.]]
knn5: 6; 6; [[6.]]; [[ 6.  6. 18. 26. 13.]]; [[ 61620. 105908. 128682. 136956. 150386.]]
knn7: 6; 6; [[6.]]; [[ 6.  6. 18. 26. 13. 13. 40.]]; [[ 61620. 105908. 128682. 136956. 150386. 156170. 158340.]]
knn3: 7; 7; [[7.]]; [[7. 7. 7.]]; [[ 77262.  93306. 109922.]]
knn5: 7; 7; [[7.]]; [[ 7.  7.  7. 28. 28.]]; [[ 77262.  93306. 109922. 120898. 123626.]]
knn7: 7; 28; [[28.]]; [[ 7.  7.  7. 28. 28. 28. 28.]]; [[ 77262.  93306. 109922. 120898. 123626. 131560. 146204.]]
knn3: 8; 8; [[8.]]; [[8. 8. 8.]]; [[ 76560. 162922. 223582.]]
knn5: 8; 8; [[8.]]; [[ 8.  8.  8.  8. 23.]]; [[ 76560. 162922. 223582. 394190. 404460.]]
knn7: 8; 8; [[8.]]; [[ 8.  8.  8.  8. 23. 10.  1.]]; [[ 76560. 162922. 223582. 394190. 404460. 404770. 404988.]]
knn3: 9; 9; [[9.]]; [[9. 9. 4.]]; [[59900. 70292. 73286.]]
knn5: 9; 4; [[4.]]; [[9. 9. 4. 4. 4.]]; [[59900. 70292. 73286. 73544. 75408.]]
knn7: 9; 4; [[4.]]; [[9. 9. 4. 4. 4. 9. 4.]]; [[59900. 70292. 73286. 73544. 75408. 76926. 90736.]]
